nama_vga,harga_vga
PNY GeForce RTX 3090,1609.0
PNY GeForce RTX 2080 SUPER,709.0
PNY GeForce GTX 1650,159.0
PNY GeForce GTX 1660,209.0
PNY GeForce RTX 2070 SUPER,549.0
PNY GeForce RTX 2080 Ti,1159.0
PNY GeForce RTX 3070,549.0
PNY GeForce RTX 3080,759.0
PNY GeForce GTX 980,1111.0
Palit GeForce RTX 3090,2499.0
Palit GeForce GTX 1050 Ti,587.0
Palit GeForce GTX 1050 Ti,241.0
Palit GeForce GTX 1070,1038.0
PowerColor Radeon HD 4850,503.0
PowerColor Radeon HD 5450,38.0
PowerColor Radeon HD 5450,64.0
PowerColor Radeon HD 5750,352.0
PowerColor Radeon HD 5750,352.0
PowerColor Radeon HD 5770,449.0
PowerColor Radeon HD 6770,546.0
PowerColor Radeon HD 6850,685.0
PowerColor Radeon HD 6870,705.0
PowerColor Radeon RX 5600 XT,648.0
PowerColor Radeon RX 580,394.0
PowerColor Radeon RX VEGA 56,550.0
PowerColor Radeon RX VEGA 64,775.0
PowerColor Radeon RX 570,267.0
PowerColor Radeon RX 580,243.0
PowerColor Radeon RX 5600 XT,823.0
PowerColor Radeon RX 5700 XT,649.0
PowerColor Radeon RX 580,249.0
PowerColor Radeon RX 550 - 512,175.0
PowerColor Radeon RX 5500 XT,369.0
PowerColor Radeon RX 5600 XT,449.0
PowerColor Radeon RX 5700 XT,677.0
Sapphire Radeon RX VEGA 64,788.0
Sapphire Radeon R9 380,325.0
Sapphire Radeon RX 5700 XT,639.0
Sapphire Radeon RX 570,438.0
Sapphire Radeon RX 570,484.0
Sapphire Radeon RX 580,404.0
Sapphire Radeon RX 580,405.0
Sapphire Radeon RX 5700 XT,798.0
Sapphire Radeon RX 5500 XT,253.0
Sapphire Radeon RX 5600 XT,332.0
Sapphire Radeon RX 5700 XT,445.0
Sapphire Radeon RX 5500 XT,193.0
Sapphire Radeon RX VEGA 56,654.0
Sapphire Radeon RX 570,350.0
Sapphire Radeon RX 580,299.0
Sapphire Radeon RX 5500 XT,231.0
Sapphire Radeon RX 5600 XT,419.0
Sparkle GeForce GTX 680,742.0
Sparkle GeForce GTX 670,547.0
Sparkle GeForce GTX 660,397.0
VisionTek Radeon HD 4350,87.0
VisionTek Radeon HD 5450,64.0
VisionTek Radeon HD 5450,47.0
VisionTek Radeon HD 7750,99.0
VisionTek Radeon HD 7750,137.0
VisionTek Radeon HD 7750,206.0
VisionTek Radeon R7 360,147.0
VisionTek Radeon RX 5500 XT,229.0
VisionTek Radeon RX 5500 XT,295.0
VisionTek Radeon HD 7750,129.0
XFX Radeon RX 580,449.0
XFX Radeon RX 570,219.0
XFX Radeon HD 7850,400.0
XFX Radeon R9 280X,524.0
XFX Radeon HD 7950,695.0
XFX Radeon HD 7950,695.0
XFX Radeon HD 7970,537.0
XFX GeForce GT 620,100.0
XFX GeForce GT 620,137.0
XFX GeForce GT 640,244.0
XFX Radeon RX 580,240.0
XFX Radeon RX 580,229.0
XFX Radeon RX 580,231.0
XFX Radeon HD 4670,125.0
XFX Radeon HD 5450,114.0
XFX Radeon HD 5450,170.0
XFX Radeon HD 6450,121.0
XFX Radeon HD 6670,119.0
XFX Radeon HD 6870,89.0
XFX Radeon RX 570,407.0
XFX Radeon RX 560 - 1024,136.0
XFX Radeon RX 570,179.0
XFX Radeon RX 570,209.0
XFX Radeon RX 580,599.0
XFX Radeon RX VEGA 56,999.0
XFX Radeon RX 5600 XT,682.0
XFX Radeon RX 5600 XT,721.0
XFX Radeon RX 5700 XT,699.0
XFX Radeon RX 5700 XT,741.0
XFX Radeon RX 570,285.0
Zotac GeForce GTX 1080 Ti,999.0
Zotac GeForce GTX 1080,999.0
Zotac GeForce GTX 660 Ti,635.0
Zotac GeForce GTX 1070 Ti,619.0
Zotac GeForce RTX 2060 SUPER,1124.0
Zotac GeForce RTX 2070,999.0
Zotac GeForce GTX 1080 Ti,1129.0
Zotac GeForce GTX 1070 Ti,679.0
Zotac GeForce GTX 1080 Ti,1202.0
Zotac GeForce RTX 2080 Ti,3486.0
Zotac GeForce GTX 1080 Ti,999.0
Zotac GeForce RTX 2060,549.0
Zotac GeForce RTX 2080 SUPER,1399.0
Zotac GeForce GTX 1660 Ti,724.0
Zotac GeForce RTX 2070 SUPER,1301.0
Zotac GeForce GTX 1660 Ti,579.0
Zotac GeForce GTX 1650,375.0
Zotac GeForce RTX 2070 SUPER,1301.0
Zotac GeForce GTX 1660,246.0
Zotac GeForce GTX 1660 SUPER,266.0
Zotac GeForce GTX 1650 SUPER,454.0
Zotac GeForce GTX 1070 Ti,609.0
Zotac GeForce GTX 1060 3GB,336.0
Zotac GeForce GTX 1070,599.0
Zotac GeForce RTX 2070 SUPER,699.0
Zotac GeForce GTX 1080,729.0
Zotac GeForce GTX 1050 Ti,269.0
Zotac GeForce RTX 2060 SUPER,799.0
Zotac GeForce GT 430,160.0
Zotac GeForce GT 430,144.0
Zotac GeForce GTX 570,575.0
Zotac GeForce GTX 570,299.0
Zotac GeForce GTX 560 Ti,493.0
Zotac GeForce GTX 550 Ti,340.0
Zotac GeForce GTX 550 Ti,279.0
Zotac GeForce GTX 560,353.0
Zotac GeForce GTX 680,1057.0
Zotac GeForce GTX 680,1112.0
Zotac GeForce GT 640,253.0
Zotac GeForce GTX 670,735.0
Zotac GeForce GTX 670,833.0
Zotac GeForce GTX 650 Ti,348.0
Zotac GeForce GTX 650 Ti,382.0
Zotac GeForce GT 730,205.0
Zotac GeForce GT 730,84.0
Zotac GeForce GT 710,168.0
Zotac GeForce GT 710,49.0
Zotac GeForce GT 710,43.0
Zotac GeForce GT 1030,84.0
Zotac GeForce GTX 1050 Ti,299.0
